No;ID Postingan BBC;Teks Postingan (Caption BBC);text;Username;Tanggal Komentar
195;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";international iq test pada januari 2024 memberikan angka rata-rata iq indonesia sebesar 92,64, yang menjadikannya negara dengan iq terendah di asia tenggara menurut laporan tersebut.;mrDin409307500;Wed Feb 19 06:13:27 +0000 2025
196;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";lah, yang milih dia kemarin juga siapa;2351cinemascope;Tue Feb 18 00:11:40 +0000 2025
197;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ada kepentingan apa nih bbc ? tangan asing?;Dimzary;Tue Feb 18 13:05:30 +0000 2025
198;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";anda sudah tidak jilat ludah sendiri pak, tetapi sudah minum muntahan sendiri;HartZikra97032;Tue Feb 18 20:44:29 +0000 2025
199;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";lu tolol dah;babi_gosong;Tue Feb 18 09:34:02 +0000 2025
200;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";pada dasarnya mahasiswa pun belum tentu bisa berbuat kebaikan sesama;unknowwwu;Tue Feb 18 06:23:37 +0000 2025
201;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";jare mahasiswa tapi bisa diadu domba, tolol ancen;DonySutant12907;Mon Feb 17 22:11:16 +0000 2025
202;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";rusuh kuy;kikipratama86;Tue Feb 18 01:42:29 +0000 2025
203;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";mereka sebut?;JianxiNimpact;Tue Feb 18 04:48:00 +0000 2025
204;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";tolak danantara;Behappyyokk;Mon Feb 17 23:30:00 +0000 2025
